2025-06-13 20:37:33.718 TRACE [http-nio-8081-exec-5] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
2025-06-13 20:37:34.676 TRACE [http-nio-8081-exec-1] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
2025-06-13 20:37:35.332 TRACE [http-nio-8081-exec-2] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
2025-06-13 20:37:35.468 TRACE [http-nio-8081-exec-3] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
2025-06-13 20:37:35.606 TRACE [http-nio-8081-exec-4] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
2025-06-13 20:37:35.760 TRACE [http-nio-8081-exec-7] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
2025-06-13 20:37:35.886 TRACE [http-nio-8081-exec-6] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
2025-06-13 20:37:36.028 TRACE [http-nio-8081-exec-9] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
2025-06-13 20:37:36.157 TRACE [http-nio-8081-exec-10] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
2025-06-13 20:37:36.301 TRACE [http-nio-8081-exec-8] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
2025-06-13 20:37:36.431 TRACE [http-nio-8081-exec-5] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
2025-06-13 20:37:36.574 TRACE [http-nio-8081-exec-1] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
2025-06-13 20:37:36.710 TRACE [http-nio-8081-exec-2] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
2025-06-13 20:37:36.839 TRACE [http-nio-8081-exec-3] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
2025-06-13 20:37:36.976 TRACE [http-nio-8081-exec-4] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
2025-06-13 20:37:37.105 TRACE [http-nio-8081-exec-7] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
2025-06-13 20:37:37.220 TRACE [http-nio-8081-exec-6] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
2025-06-13 20:37:37.356 TRACE [http-nio-8081-exec-9] AUDIT_LOGGER - AUDIT | IP: 0:0:0:0:0:0:0:1 | Action: Expanded URL for shortcode: cQkpbi
